aoi,filename,label,dataset
DOM,DOM_10008.tif,FLAT,train
DOM,DOM_10032.tif,FLAT,train
DOM,DOM_10040.tif,FLAT,train
DOM,DOM_10059.tif,FLAT,train
DOM,DOM_10061.tif,FLAT,train
DOM,DOM_10100.tif,FLAT,train
DOM,DOM_10118.tif,FLAT,train
DOM,DOM_10120.tif,FLAT,train
DOM,DOM_10129.tif,FLAT,train
DOM,DOM_10132.tif,FLAT,train
DOM,DOM_10141.tif,FLAT,train
DOM,DOM_10151.tif,FLAT,train
DOM,DOM_10165.tif,FLAT,train
DOM,DOM_10170.tif,FLAT,train
DOM,DOM_10174.tif,FLAT,train
DOM,DOM_10179.tif,FLAT,test
DOM,DOM_10187.tif,FLAT,train
DOM,DOM_10196.tif,FLAT,train
DOM,DOM_10198.tif,FLAT,train
DOM,DOM_10210.tif,FLAT,train
DOM,DOM_10214.tif,FLAT,train
DOM,DOM_10229.tif,FLAT,train
DOM,DOM_10232.tif,FLAT,train
DOM,DOM_10244.tif,FLAT,test
DOM,DOM_10246.tif,FLAT,train
DOM,DOM_10247.tif,FLAT,train
DOM,DOM_10248.tif,FLAT,train
DOM,DOM_10249.tif,FLAT,train
DOM,DOM_10283.tif,FLAT,train
DOM,DOM_10325.tif,FLAT,test
DOM,DOM_10340.tif,FLAT,test
DOM,DOM_10352.tif,FLAT,train
DOM,DOM_10384.tif,FLAT,test
DOM,DOM_10399.tif,FLAT,train
DOM,DOM_10400.tif,FLAT,train
DOM,DOM_10401.tif,FLAT,train
DOM,DOM_10406.tif,FLAT,train
DOM,DOM_10410.tif,FLAT,train
DOM,DOM_10427.tif,FLAT,train
DOM,DOM_10440.tif,FLAT,train
DOM,DOM_10462.tif,FLAT,train
DOM,DOM_10468.tif,FLAT,train
DOM,DOM_10518.tif,FLAT,train
DOM,DOM_10538.tif,FLAT,test
DOM,DOM_10576.tif,FLAT,test
DOM,DOM_10579.tif,FLAT,train
DOM,DOM_10595.tif,FLAT,train
DOM,DOM_10607.tif,FLAT,train
DOM,DOM_10625.tif,FLAT,train
DOM,DOM_10628.tif,FLAT,test
DOM,DOM_10647.tif,FLAT,train
DOM,DOM_10702.tif,FLAT,test
DOM,DOM_10714.tif,FLAT,train
DOM,DOM_10716.tif,FLAT,train
DOM,DOM_10719.tif,FLAT,train
DOM,DOM_1073.tif,FLAT,train
DOM,DOM_10741.tif,FLAT,test
DOM,DOM_10765.tif,FLAT,train
DOM,DOM_1079.tif,FLAT,test
DOM,DOM_10792.tif,FLAT,test
DOM,DOM_10803.tif,FLAT,train
DOM,DOM_10833.tif,FLAT,train
DOM,DOM_10837.tif,FLAT,train
DOM,DOM_10863.tif,FLAT,test
DOM,DOM_10892.tif,FLAT,train
DOM,DOM_10914.tif,FLAT,test
DOM,DOM_1092.tif,FLAT,train
DOM,DOM_10939.tif,FLAT,test
DOM,DOM_10955.tif,FLAT,train
DOM,DOM_10986.tif,FLAT,test
DOM,DOM_11073.tif,FLAT,test
DOM,DOM_11077.tif,FLAT,train
DOM,DOM_11094.tif,FLAT,train
DOM,DOM_11119.tif,FLAT,test
DOM,DOM_1122.tif,FLAT,train
DOM,DOM_11343.tif,FLAT,train
DOM,DOM_1145.tif,FLAT,test
DOM,DOM_1166.tif,FLAT,train
DOM,DOM_11692.tif,FLAT,test
DOM,DOM_1179.tif,FLAT,train
DOM,DOM_1183.tif,FLAT,train
DOM,DOM_1185.tif,FLAT,test
DOM,DOM_1207.tif,FLAT,train
DOM,DOM_1210.tif,FLAT,train
DOM,DOM_1213.tif,FLAT,train
DOM,DOM_1219.tif,FLAT,train
DOM,DOM_1242.tif,FLAT,train
DOM,DOM_1248.tif,FLAT,train
DOM,DOM_1260.tif,FLAT,train
DOM,DOM_12601.tif,FLAT,train
DOM,DOM_12637.tif,FLAT,train
DOM,DOM_12647.tif,FLAT,train
DOM,DOM_1273.tif,FLAT,train
DOM,DOM_12784.tif,FLAT,train
DOM,DOM_12811.tif,FLAT,train
DOM,DOM_1282.tif,FLAT,train
DOM,DOM_12828.tif,FLAT,train
DOM,DOM_12840.tif,FLAT,train
DOM,DOM_1285.tif,FLAT,train
DOM,DOM_12857.tif,FLAT,test
DOM,DOM_1291.tif,FLAT,test
DOM,DOM_12925.tif,FLAT,test
DOM,DOM_1293.tif,FLAT,train
DOM,DOM_1296.tif,FLAT,train
DOM,DOM_12989.tif,FLAT,train
DOM,DOM_13007.tif,FLAT,train
DOM,DOM_1301.tif,FLAT,train
DOM,DOM_13037.tif,FLAT,test
DOM,DOM_1304.tif,FLAT,train
DOM,DOM_13075.tif,FLAT,test
DOM,DOM_13102.tif,FLAT,train
DOM,DOM_13115.tif,FLAT,test
DOM,DOM_1317.tif,FLAT,train
DOM,DOM_13200.tif,FLAT,train
DOM,DOM_13206.tif,FLAT,train
DOM,DOM_13274.tif,FLAT,test
DOM,DOM_13321.tif,FLAT,train
DOM,DOM_13385.tif,FLAT,train
DOM,DOM_13399.tif,FLAT,train
DOM,DOM_13402.tif,FLAT,train
DOM,DOM_13409.tif,FLAT,train
DOM,DOM_13434.tif,FLAT,train
DOM,DOM_13436.tif,FLAT,train
DOM,DOM_13439.tif,FLAT,test
DOM,DOM_13476.tif,FLAT,test
DOM,DOM_13478.tif,FLAT,train
DOM,DOM_1353.tif,FLAT,train
DOM,DOM_1355.tif,FLAT,train
DOM,DOM_13573.tif,FLAT,test
DOM,DOM_13610.tif,FLAT,train
DOM,DOM_13613.tif,FLAT,train
DOM,DOM_13616.tif,FLAT,train
DOM,DOM_13617.tif,FLAT,train
DOM,DOM_13641.tif,FLAT,train
DOM,DOM_13644.tif,FLAT,train
DOM,DOM_1366.tif,FLAT,test
DOM,DOM_13668.tif,FLAT,train
DOM,DOM_13692.tif,FLAT,train
DOM,DOM_13694.tif,FLAT,train
DOM,DOM_13695.tif,FLAT,train
DOM,DOM_13709.tif,FLAT,train
DOM,DOM_13719.tif,FLAT,test
DOM,DOM_1377.tif,FLAT,train
DOM,DOM_13787.tif,FLAT,train
DOM,DOM_13812.tif,FLAT,train
DOM,DOM_13826.tif,FLAT,train
DOM,DOM_13827.tif,FLAT,train
DOM,DOM_13842.tif,FLAT,train
DOM,DOM_1385.tif,FLAT,train
DOM,DOM_13879.tif,FLAT,train
DOM,DOM_13880.tif,FLAT,train
DOM,DOM_13912.tif,FLAT,train
DOM,DOM_13916.tif,FLAT,train
DOM,DOM_13941.tif,FLAT,train
DOM,DOM_13948.tif,FLAT,train
DOM,DOM_1397.tif,FLAT,train
DOM,DOM_13980.tif,FLAT,train
DOM,DOM_13981.tif,FLAT,train
DOM,DOM_14027.tif,FLAT,train
DOM,DOM_14037.tif,FLAT,train
DOM,DOM_14040.tif,FLAT,train
DOM,DOM_14058.tif,FLAT,train
DOM,DOM_14066.tif,FLAT,test
DOM,DOM_14071.tif,FLAT,test
DOM,DOM_14072.tif,FLAT,train
DOM,DOM_1410.tif,FLAT,train
DOM,DOM_14104.tif,FLAT,train
DOM,DOM_14120.tif,FLAT,train
DOM,DOM_14128.tif,FLAT,test
DOM,DOM_14146.tif,FLAT,train
DOM,DOM_14155.tif,FLAT,test
DOM,DOM_14157.tif,FLAT,train
DOM,DOM_14162.tif,FLAT,train
DOM,DOM_14165.tif,FLAT,test
DOM,DOM_14168.tif,FLAT,train
DOM,DOM_14170.tif,FLAT,test
DOM,DOM_14180.tif,FLAT,train
DOM,DOM_14191.tif,FLAT,train
DOM,DOM_14205.tif,FLAT,train
DOM,DOM_1421.tif,FLAT,train
DOM,DOM_14240.tif,FLAT,train
DOM,DOM_14269.tif,FLAT,train
DOM,DOM_14276.tif,FLAT,train
DOM,DOM_14282.tif,FLAT,train
DOM,DOM_14283.tif,FLAT,test
DOM,DOM_14329.tif,FLAT,test
DOM,DOM_14333.tif,FLAT,train
DOM,DOM_1437.tif,FLAT,train
DOM,DOM_1440.tif,FLAT,train
DOM,DOM_1449.tif,FLAT,train
DOM,DOM_1479.tif,FLAT,train
DOM,DOM_1480.tif,FLAT,train
DOM,DOM_1491.tif,FLAT,test
DOM,DOM_1513.tif,FLAT,train
DOM,DOM_1521.tif,FLAT,train
DOM,DOM_1527.tif,FLAT,train
DOM,DOM_1537.tif,FLAT,test
DOM,DOM_1545.tif,FLAT,train
DOM,DOM_1547.tif,FLAT,test
DOM,DOM_1554.tif,FLAT,test
DOM,DOM_1561.tif,FLAT,train
DOM,DOM_1574.tif,FLAT,train
DOM,DOM_1578.tif,FLAT,train
DOM,DOM_1581.tif,FLAT,test
DOM,DOM_1590.tif,FLAT,train
DOM,DOM_16004.tif,FLAT,train
DOM,DOM_16008.tif,FLAT,train
DOM,DOM_1603.tif,FLAT,train
DOM,DOM_16063.tif,FLAT,test
DOM,DOM_16083.tif,FLAT,train
DOM,DOM_16101.tif,FLAT,train
DOM,DOM_16127.tif,FLAT,train
DOM,DOM_1613.tif,FLAT,train
DOM,DOM_16133.tif,FLAT,train
DOM,DOM_16137.tif,FLAT,train
DOM,DOM_16171.tif,FLAT,train
DOM,DOM_16187.tif,FLAT,train
DOM,DOM_16190.tif,FLAT,train
DOM,DOM_16224.tif,FLAT,test
DOM,DOM_16241.tif,FLAT,train
DOM,DOM_1625.tif,FLAT,test
DOM,DOM_16260.tif,FLAT,train
DOM,DOM_1634.tif,FLAT,train
DOM,DOM_16345.tif,FLAT,train
DOM,DOM_16355.tif,FLAT,train
DOM,DOM_16380.tif,FLAT,train
DOM,DOM_1639.tif,FLAT,train
DOM,DOM_16396.tif,FLAT,train
DOM,DOM_16402.tif,FLAT,train
DOM,DOM_16403.tif,FLAT,train
DOM,DOM_16404.tif,FLAT,train
DOM,DOM_16408.tif,FLAT,test
DOM,DOM_16432.tif,FLAT,train
DOM,DOM_1644.tif,FLAT,test
DOM,DOM_16444.tif,FLAT,train
DOM,DOM_16447.tif,FLAT,train
DOM,DOM_16452.tif,FLAT,test
DOM,DOM_16460.tif,FLAT,test
DOM,DOM_16461.tif,FLAT,train
DOM,DOM_16465.tif,FLAT,test
DOM,DOM_16466.tif,FLAT,test
DOM,DOM_1647.tif,FLAT,train
DOM,DOM_16500.tif,FLAT,train
DOM,DOM_16506.tif,FLAT,train
DOM,DOM_16529.tif,FLAT,test
DOM,DOM_16542.tif,FLAT,train
DOM,DOM_16553.tif,FLAT,train
DOM,DOM_16564.tif,FLAT,test
DOM,DOM_16567.tif,FLAT,train
DOM,DOM_16571.tif,FLAT,train
DOM,DOM_1658.tif,FLAT,train
DOM,DOM_16590.tif,FLAT,test
DOM,DOM_16605.tif,FLAT,train
DOM,DOM_1662.tif,FLAT,train
DOM,DOM_16630.tif,FLAT,train
DOM,DOM_16650.tif,FLAT,train
DOM,DOM_16688.tif,FLAT,train
DOM,DOM_16689.tif,FLAT,train
DOM,DOM_16694.tif,FLAT,train
DOM,DOM_16698.tif,FLAT,test
DOM,DOM_1676.tif,FLAT,train
DOM,DOM_16776.tif,FLAT,test
DOM,DOM_16786.tif,FLAT,train
DOM,DOM_16804.tif,FLAT,train
DOM,DOM_16807.tif,FLAT,train
DOM,DOM_16831.tif,FLAT,train
DOM,DOM_1684.tif,FLAT,test
DOM,DOM_16862.tif,FLAT,train
DOM,DOM_16864.tif,FLAT,train
DOM,DOM_16869.tif,FLAT,train
DOM,DOM_16872.tif,FLAT,test
DOM,DOM_1688.tif,FLAT,test
DOM,DOM_16889.tif,FLAT,train
DOM,DOM_16895.tif,FLAT,train
DOM,DOM_16897.tif,FLAT,test
DOM,DOM_16910.tif,FLAT,test
DOM,DOM_1692.tif,FLAT,train
DOM,DOM_16972.tif,FLAT,test
DOM,DOM_17011.tif,FLAT,train
DOM,DOM_1704.tif,FLAT,train
DOM,DOM_17041.tif,FLAT,train
DOM,DOM_1706.tif,FLAT,train
DOM,DOM_17070.tif,FLAT,train
DOM,DOM_17077.tif,FLAT,train
DOM,DOM_17085.tif,FLAT,train
DOM,DOM_17087.tif,FLAT,train
DOM,DOM_17088.tif,FLAT,test
DOM,DOM_1709.tif,FLAT,train
DOM,DOM_17104.tif,FLAT,train
DOM,DOM_17107.tif,FLAT,test
DOM,DOM_17121.tif,FLAT,train
DOM,DOM_17124.tif,FLAT,train
DOM,DOM_17133.tif,FLAT,test
DOM,DOM_1714.tif,FLAT,train
DOM,DOM_17152.tif,FLAT,train
DOM,DOM_17159.tif,FLAT,train
DOM,DOM_17163.tif,FLAT,train
DOM,DOM_17165.tif,FLAT,test
DOM,DOM_17168.tif,FLAT,test
DOM,DOM_17171.tif,FLAT,train
DOM,DOM_17172.tif,FLAT,test
DOM,DOM_17182.tif,FLAT,train
DOM,DOM_17183.tif,FLAT,train
DOM,DOM_17188.tif,FLAT,test
DOM,DOM_17189.tif,FLAT,train
DOM,DOM_17196.tif,FLAT,train
DOM,DOM_17215.tif,FLAT,test
